label,message
1,puto
1,put0
1,put*
1,puta
1,put4
1,pto
1,pito
0,bonito
0,bonit0
0,bonita
0,bonit4
0,lindo
0,linda
0,buen
0,gracias
0,excelente
0,buena
1,verga
1,vrga
1,vrg
1,vtalv
1,v3rg4
1,p3nd3j4
1,p3nd3j0
1,p3nd3j0
1,p3nd3jo
1,fuck
1,f*ck
1,c0ger
1,f0llar
1,mamar
1,no mames
1,eres un hijo de puta
1,eres un hijo de perra
1,eres un hijo de p3rra
1,hijo de tu puta madre
1,hdptm
0,la opción de pago en la app no funciona bien y tuve que repetir el proceso varias veces
0,no hay información suficiente sobre el kilometraje permitido en los vehículos
0,el proceso de devolución del coche es confuso y no está bien explicado
0,el precio de la gasolina no estaba incluido en el costo final y fue una sorpresa
0,la app no muestra los detalles del seguro claramente antes de finalizar la reserva
0,los vehículos están mal mantenidos y tienen varios problemas mecánicos
0,la app se actualiza con demasiada frecuencia y esto causa problemas de compatibilidad
0,no se me ofreció ninguna compensación por el retraso en la entrega del vehículo
0,el sistema de puntuación y reseñas parece estar manipulado
0,la app no ofrece soporte en varios idiomas lo que dificulta el uso para personas no hispanohablantes
1,estos pendejos
1,estos pendej0s
1,estos pend3j0s
1,estos p3nd3j0s
1,hdpt
1,pene
1,pen3
1,p3n3
1,kger
1,mampo
1,j0t0
1,joto
1,mampito
1,mampito
1,coño
1,pto
1,putito
1,jotit0
1,jotito
1,puñal
1,chinga
1,chinga tu madre
1,te voy a matar
1,maldito
1,perra
1,zorra
1,estupida
1,estupido
1,estupid0
1,pendejo
1,pendeja
1,pendej0
1,pendej4
0,estoy muy satisfecho con el servicio
1,nac0
1,nacada
1,naco
1,nacad4
1,imbecil
1,eres un idi0ta
0,excelente atención y amabilidad
1,vuelve a tu puto país
0,el auto estaba en perfecto estado
0,el personal fue muy grosero
0,todo estuvo muy bien gracias
0,me encantó la experiencia
1,malditos estafadores
0,servicio rápido y eficiente
0,buen servicio bonito carro
0,buena atencion y excelente servicio
0,buen servicio y el dueño muy amable
0,buen auto y excelente atencion
0,buen servicio
0,buen servicio
0,buen servicio
0,buen servicio
0,buen servicio
0,excelente
0,buen
0,uen servicio excelente carro
1,buen servicio pero la dueña esta pendeja
1,buen servicio pero la dueño esta pendejo
1,excelente servicio el carro muy limpio pero el dueño es un imbécil
1,excelente servicio el carro muy limpio pero el dueño es un imbecil
1,excelente servicio el carro muy limpio pero el dueño es un imb3cil
1,todo estaba muy bien pero la dueña no dejó de chigarme la madre todo el día
1,todo estaba muy bien pero el dueño no dejó de chigarm3 la madr3 todo el día
1,todo estaba muy bien pero el dueño no dejó de chigarme la madre todo el día
1,todo estaba muy bien pero la dueña no dejó de chigarm3 la madr3 todo el día
0,me tuvieron esperando mucho tiempo el carro no estaba limpio el dueño no fue amable
0,el carro estaba sucio
0,el dueño no fue amable
0,me trató mal
0,se tardaron en entregarme el auto
0,tardar
0,entregar
0,carro
0,bicicleta
0,moto
0,motocicleta
0,cuando recibí el auto estaba sucio las llantas estaban bajas
0,cuando recibí el auto estaba sucio las llantas estaban desinfladas
0,recibí el auto con el tanque casi vacio
0,el proceso de reserva es muy complicado y confuso necesita ser más intuitivo
0,la selección de vehículos es muy limitada en mi área
0,el precio final que pagué fue mucho más alto que el estimado inicial no hay claridad en los cargos adicionales
0,tuve que esperar mucho tiempo para que me entregaran el coche en la ubicación designada
0,la app se bloquea constantemente y es difícil de usar
0,el soporte al cliente no respondió de manera oportuna cuando tuve un problema
0,el auto que me entregaron no estaba limpio y tenía un olor desagradable
0,la política de cancelación es demasiado estricta y no flexible
0,tuve dificultades para entender las condiciones del contrato debido a la falta de explicaciones claras
0,el gps del vehículo no funcionaba correctamente y me perdí varias veces
0,la aplicación no me permite seleccionar la fecha y hora de recogida que necesito
0,el vehículo que reservé no estaba disponible cuando llegué a recogerlo
0,me cobraron por un seguro adicional que no solicité
0,la interfaz de la app es antigua y poco amigable
0,los vehículos disponibles no están en buenas condiciones
0,el personal en la oficina de recogida fue poco amable
0,la app no guarda mis preferencias de usuario
0,tuve problemas para encontrar la ubicación de devolución del vehículo
0,los filtros de búsqueda en la app no funcionan correctamente
0,me resultó difícil contactar con el servicio de atención al cliente
0,buen servicio el carro muy bonito pero el dueño fue un poco grosero conmigo
0,buen servicio el carro muy bonito pero el dueño fue un poco grosero conmigo
0,buen servicio el carro muy bonito pero el dueño fue un poco grosero conmigo
0,buen servicio el carro muy bonito pero el dueño fue un poco grosero conmigo
0,buen servicio el carro muy bonito pero el dueño fue un poco grosero conmigo
1,buen servicio el carro muy bonito pero el dueño se puso pendej0 conmigo
1,buen servicio el carro muy bonito pero el dueño se puso pendej0 conmigo
1,buen servicio el carro muy bonito pero el dueño se puso pendej0 conmigo
1,buen servicio el carro muy bonito pero el dueño se puso pendej0 conmigo
1,buen servicio el carro muy bonito pero el dueño se puso p3nd3jo conmigo
1,buen servicio el carro muy bonito pero el dueño se puso p3nd3jo conmigo
1,buen servicio el carro muy bonito pero el dueño se puso p3nd3jo conmigo
1,buen servicio el carro muy bonito pero el dueño se puso p3nd3jo conmigo
1,ramera de mierda
1,ramer4
1,ramera
1,ram3ra
1,ram3r4
1,r4m3r4
1,ramera de mrd
1,ramer4 de mrd
1,mierda
1,mierd4
1,mi3rd4
1,mi3rda

